rate,title,author
9.2,说文解字,作者:[汉]许慎撰/[宋]徐铉杨校定
9.6,冰与火之歌·卷三·冰雨的风暴（全三册）,作者:[美]乔治·R.R.马丁
9.1,亲密关系（第5版）,作者:罗兰•米勒(RowlandMiller)/丹尼尔•珀尔曼(DanielPerlman)
9.6,五月天之素人自拍,作者:五月天
9.1,对伪心理学说不,作者:基思•斯坦诺维奇
9.0,我要做好孩子,作者:黄蓓佳
9.2,北方的空地,作者:杨柳松
9.2,古拉格,作者:(美)安妮·阿普尔鲍姆
9.0,地下室手记,作者:[俄]陀思妥耶夫斯基
9.2,皮皮鲁和鲁西西全传,作者:郑渊洁
9.1,失明症漫记,作者:(葡)若泽·萨拉马戈
9.0,来自新世界（上下）,作者:[日]贵志祐介
9.0,永恒的终结,作者:[美]艾萨克·阿西莫夫
9.0,听音乐（插图第6版）,作者:罗杰·凯密恩（RogerKamien）
8.9,人类的群星闪耀时（增订版）,作者:[奥]斯蒂芬·茨威格
9.2,美的历程,作者:李泽厚
9.1,众病之王,作者:[美]悉达多·穆克吉
9.2,人类简史,作者:[以色列]尤瓦尔·赫拉利
9.0,最好的告别,作者:[美]阿图·葛文德（AtulGawande）
9.0,强风吹拂,作者:(日)三浦紫苑
8.9,火星救援,作者:[美]安迪·威尔
9.0,文明之光（第一册）,作者:吴军
9.3,四書章句集注,作者:朱熹
9.1,大盗贼,作者:奥得弗雷德·普鲁士勒
9.1,霸王别姬,作者:李碧华
9.0,重构,作者:MartinFowler
9.1,易经,出版社:吉林文史出版社
9.2,编程珠玑,作者:JonBentley
9.3,宋词三百首,作者:武玉成，顾丛龙注
9.0,战国策,作者:宋韬
9.1,敏捷软件开发,作者:RobertC.Martin
9.0,牡丹亭,作者:汤显祖
9.4,宋词鉴赏辞典,作者:夏承焘/等
9.0,长袜子皮皮,作者:[瑞典]阿斯特丽德·林格伦
9.2,老子注译及评介,作者:陈鼓应
9.1,中国古典园林分析,作者:彭一刚
9.0,外部空间设计,作者:芦原义信
9.0,四世同堂（上下）,作者:老舍
9.3,莎士比亚全集（全8册）,作者:[英]莎士比亚
9.4,津巴多普通心理学,作者:[美]菲利普·津巴多/[美]罗伯特·约翰逊/[美]安·韦伯
9.2,HeadFirst设计模式（中文版）,作者:弗里曼
9.1,天龙八部,作者:金庸
9.0,古文观止,作者:吴楚材/吴调侯
9.5,计算机程序的构造和解释,作者:HaroldAbelson/GeraldJaySussman/JulieSussman
9.1,期货市场技术分析,作者:[美]约翰.墨菲
9.0,聪明的投资者,作者:本杰明·格雷厄姆/BenjaminGraham
9.0,穷查理宝典,作者:[美]彼得·考夫曼(编)
9.0,冬牧场,作者:李娟
9.4,蓝熊船长的13条半命,作者:[德]瓦尔特·莫尔斯
9.0,万物既伟大又渺小,作者:[英]吉米·哈利（JamesHerriot）
9.0,阿城精选集,作者:阿城
9.1,金刚经心经坛经,作者:陈秋平/尚荣
9.1,经济学,作者:(美)保罗﹒萨缪尔森/（美）诺德豪斯
9.1,飞鸟集,作者:泰戈尔
9.1,顾城的诗顾城的画,作者:顾城
9.0,设计中的设计|全本,作者:[日]原研哉
9.0,佛教的见地与修道,作者:宗萨钦哲仁波切
9.0,上学记,作者:何兆武（口述）/文靖
9.3,人生的智慧,作者:[德]叔本华
9.0,金蔷薇,作者:[俄]康·帕乌斯托夫斯基
9.0,张国荣的时光,作者:志摩千岁
9.1,岁朝清供,作者:汪曾祺
9.2,华夏意匠,作者:李允鉌
9.1,万物刹那又永恒,作者:[英]吉米·哈利
9.0,发现之旅,作者:托尼•赖斯
9.0,論語譯註,出版社:中华书局
9.0,中国文化要义,作者:梁漱溟
9.2,野草,作者:鲁迅
9.2,中国法律与中国社会,作者:瞿同祖
8.9,庄子諵譁（上）,作者:南怀瑾
9.1,古代汉语（第一册）,作者:王力主编
9.1,返璞归真,作者:C.S.路易斯
9.0,费马大定理,作者:（英）西蒙・辛格
9.0,超越时空,"作者:[美]加来道雄（Kaku,M）"
9.3,古詩源,作者:[清]沈德潛
8.9,此生未完成,作者:于娟
9.0,惶然录,作者:[葡萄牙]费尔南多·佩索阿
9.0,蒋勋说红楼梦（第一辑）,作者:蒋勋
9.0,大问题,作者:[美]罗伯特·所罗门
9.2,阿莱夫,作者:[阿根廷]豪·路·博尔赫斯
9.1,杀死一只反舌鸟,作者:[美]哈珀·李
9.2,故事,作者:[美]罗伯特·麦基
9.1,逻辑哲学论,作者:[奥]维特根斯坦
9.2,纳尔齐斯与歌尔德蒙,作者:[德]赫尔曼·黑塞
9.1,新千年文学备忘录,作者:(意)伊塔洛·卡尔维诺
9.0,白鹿原,作者:陈忠实
9.4,博尔赫斯全集,作者:[阿根廷]豪·路·博尔赫斯
9.0,传奇(上下),作者:张爱玲
9.0,人生的枷锁,作者:[英]毛姆
9.0,神经外科的黑色喜剧,作者:[美]法兰克·佛杜锡克著/吴程远译
9.0,采桑子,作者:叶广芩
9.0,围城,作者:钱钟书
9.0,写在人生边上写在人生边上的边上石语,作者:钱钟书
9.0,人间是剧场,作者:宗萨蒋扬钦哲仁波切
9.0,平如美棠,作者:饶平如
9.2,悲惨世界（上下）,作者:雨果
9.2,学术与政治,作者:[德]马克斯·韦伯
9.0,心灵的焦灼,作者:斯台芬·茨威格
8.9,论语新解,作者:钱穆
9.2,虚构集,作者:[阿根廷]豪·路·博尔赫斯
9.0,毛毛,作者:米切尔・恩德
9.2,甲骨文,作者:何偉
9.1,大明宫词,作者:郑重/王要
9.0,联邦党人文集,作者:汉密尔顿/杰伊/麦迪逊
9.2,锦灰堆,作者:王世襄
9.2,来自民间的叛逆,作者:袁越
9.2,古拉格群岛（上中下）,作者:[俄]亚历山大·索尔仁尼琴
9.1,美国宪政历程,作者:任东来/陈伟/白雪峰
9.1,洞穴奇案,作者:(美)萨伯
9.6,哈尔罗杰历险记(全套共14册),作者:WILLARDPRICE
9.5,深入理解计算机系统,作者:RandalE.Bryant/DavidO'Hallaron
9.4,艺术的故事,作者:[英]贡布里希(SirE.H.Gombrich)
9.5,冰与火之歌（卷三）,作者:[美]乔治.R.R.马丁
9.5,牛津高阶英汉双解词典（第六版）,作者:[英]A.S.Hornby原著/SallyWehmeier主编/MichaelAshby语音编辑
9.5,费恩曼物理学讲义（第1卷）,作者:RichardP.Feynman/RobertB.Leighton/MatthewSands
9.2,滚蛋吧!肿瘤君,作者:熊顿
9.5,红楼梦,作者:[清]曹雪芹著/高鹗续
9.4,塔希里亚故事集,作者:吴淼
9.2,百年孤独,作者:[哥伦比亚]加西亚·马尔克斯
9.3,算法导论（原书第2版）,作者:[美]ThomasH.Cormen/CharlesE.Leiserson/RonaldL.Rivest/CliffordStein
9.4,哥德尔、艾舍尔、巴赫,作者:[美]侯世达
9.2,文学回忆录（全2册）,作者:木心口述/陈丹青笔录
9.5,史记（全十册）,作者:司马迁
9.4,道德经,作者:老子
9.2,三体Ⅲ,作者:刘慈欣
8.8,看见,作者:柴静
9.4,冰与火之歌（卷二）,作者:[美]乔治.R.R.马丁
9.4,鲁迅全集（2005最新修订版）,作者:鲁迅
9.4,塔希里亚故事集Ⅱ,作者:吴淼
9.1,浪潮之巅,作者:吴军
9.4,诗经,作者:孔丘编订
9.3,第二基地,作者:[美]艾萨克·阿西莫夫
9.4,中国少年儿童百科全书（全四册）,作者:林崇德主编
9.4,中國近代史（上冊）,作者:[美]徐中約
9.3,唐诗三百首,出版社:广西民族出版社
9.3,資治通鑑（全二十冊）,作者:[宋]司馬光編著/[元]胡三省音注
9.3,基督山伯爵(上下),作者:〔法〕大仲马著
9.3,风与树的歌,作者:安房直子
9.2,寻找家园,作者:高尔泰
9.2,冰与火之歌·卷四·群鸦的盛宴（全两册）,作者:（美）乔治·R·R·马丁
9.3,我在伊朗长大,作者:玛赞·莎塔碧
9.3,现代汉语词典（修订本）,作者:中国社会科学院语言研究所词典编辑室编
9.3,庄子,作者:孙通海译注
9.3,卡拉马佐夫兄弟,作者:[俄]陀思妥耶夫斯基
9.4,C程序设计语言,作者:（美）BrianW.Kernighan/（美）DennisM.Ritchie
9.3,卡尔维诺文集（第三卷）,作者:[意大利]卡尔维诺
9.1,源泉,作者:[美]安·兰德
9.3,冰与火之歌（卷一）,作者:[美]乔治·R.R.马丁
9.4,我的团长我的团（下部）,作者:兰晓龙
9.3,唐诗三百首,作者:蘅塘退士/陈婉俊
9.2,南京浩劫,作者:张纯如
9.3,王小波全集,作者:王小波
9.3,猜猜我有多爱你,作者:[英]山姆·麦克布雷尼文/安妮塔·婕朗图
9.2,基地,作者:[美]艾萨克·阿西莫夫
9.2,银河英雄传说,作者:[日]田中芳树
9.1,猫城小事,作者:[日]莫莉蓟野
9.2,我在伊朗长大1,作者:[伊朗]玛赞·莎塔碧
9.3,國史大綱（上下）,作者:錢穆
9.2,乡土中国生育制度,作者:费孝通
9.2,365夜故事（上下）,作者:鲁兵主编/朱延龄插图
9.2,基地与帝国,作者:[美]艾萨克·阿西莫夫
9.1,顾准文集,作者:顾准
9.2,飘（全二册）,作者:[美]米切尔
9.2,一九八四·动物农场,作者:[英]乔治·奥威尔
9.2,飲水詞箋校,作者:（清）纳兰性德/赵秀亭（笺校）/冯统一（笺校）
9.2,渴望生活,作者:[美]欧文·斯通
9.2,随风而来的玛丽阿姨,作者:（英）帕·林·特拉芙斯
8.9,霍乱时期的爱情,作者:[哥伦比亚]加西亚·马尔克斯
9.1,月亮和六便士,作者:[英]毛姆
9.1,从一到无穷大,作者:[美]G.伽莫夫
9.2,论美国的民主,作者:(法)托克维尔
8.9,旧制度与大革命,作者:[法]托克维尔
9.2,全球通史(上),作者:LeftenStavrosStavrianos
9.2,全球通史(下),"作者:（美）斯塔夫里阿诺斯（Stavrianos,L.S.）"
9.2,上帝掷骰子吗,作者:曹天元
9.1,给青年诗人的信,作者:[奥]莱内·马利亚·里尔克
9.1,快乐王子,作者:[英]王尔德
9.3,代码大全（第2版）,作者:[美]史蒂夫·迈克康奈尔
9.2,C++Primer中文版（第4版）,作者:StanleyB.Lippman/JoséeLaJoie/BarbaraE.Moo
9.2,三体Ⅱ,作者:刘慈欣
9.3,爷爷变成了幽灵,作者:[丹麦]金·弗珀兹·艾克松/文/[瑞典]爱娃·艾瑞克松/图
9.1,肖申克的救赎,作者:[美]斯蒂芬·金
9.1,安徒生童话故事集,作者:（丹麦）安徒生
9.2,平凡的世界（全三册）,作者:路遥
9.2,撒哈拉的故事,作者:三毛
9.3,飘,作者:[美国]玛格丽特·米切尔
9.2,三国演义（全二册）,作者:[明]罗贯中
9.1,王尔德童话,作者:[英]王尔德
9.0,先知,作者:卡里·纪伯伦
9.1,加缪文集,作者:[法]阿尔贝·加缪
9.1,维特根斯坦传,作者:[英]瑞·蒙克
9.2,新华字典（1998年修订本）,作者:中国社会科学院语言研究所编
9.2,我的团长我的团（上部）,作者:兰晓龙
9.1,社会性动物,作者:ElliotAronson
9.1,公正,作者:[美]迈克尔·桑德尔
9.1,设计模式,作者:[美]ErichGamma/RichardHelm/RalphJohnson/JohnVlissides
9.1,人生的智慧,作者:（德）叔本华
9.1,什么是数学,作者:[美]R·柯朗H·罗宾著/I·斯图尔特修订
9.2,三国志（全五册）,作者:[晋]陈寿撰/[宋]裴松之注
9.2,夹边沟记事,作者:杨显惠
9.2,明朝那些事儿（1-9）,作者:当年明月
9.2,昨日的世界,作者:[奥］斯蒂芬・茨威格
9.2,唐诗鉴赏辞典,作者:萧涤非/等
9.0,星空,作者:幾米
9.1,博尔赫斯小说集,作者:[阿根廷]博尔赫斯
9.0,江城,作者:[美]彼得·海斯勒
9.1,海的女儿,作者:安徒生
9.2,福尔摩斯探案全集（上中下）,作者:[英]阿·柯南道尔
9.0,让爱点亮,作者:慕容引刀
9.0,悉达多,作者:[德]赫尔曼·黑塞
9.1,美国纽约摄影学院摄影教材（上）,作者:美国纽约摄影学院
9.0,UNIX编程艺术,作者:EricS.Raymond
9.1,追忆似水年华（上下册）,作者:[法国]马塞尔·普鲁斯特
9.1,忧郁的热带,作者:[法]列维-斯特劳斯
9.0,狂热分子,作者:[美]埃里克·霍弗
9.1,中国历代政治得失,作者:钱穆
9.0,营销管理,作者:[美]菲利普·科特勒/[美]凯文·莱恩·凯勒
9.1,爱心树,作者:谢尔・希尔弗斯坦
9.1,活着,作者:余华
9.0,好妈妈胜过好老师,作者:尹建莉
9.2,我在伊朗长大3,作者:[伊朗]玛赞·莎塔碧
9.1,父与子全集,作者:[德]埃·奥·卜劳恩绘
9.0,被爱路过,作者:慕容引刀
9.1,子猫絮语,作者:[日]莫莉蓟野
9.2,动物农场,作者:[英]乔治·奥威尔
9.0,沉默的大多数,作者:王小波
9.0,阿狸·梦之城堡,作者:hans
9.1,活着,作者:余华
9.0,小王子,作者:[法]圣埃克苏佩里
9.1,白夜行,作者:[日]东野圭吾
9.0,东方快车谋杀案,作者:[英]阿加莎·克里斯蒂
9.0,傲慢与偏见,作者:[英]奥斯丁
9.0,我的精神家园,作者:王小波
9.1,我們最幸福,作者:芭芭拉·德米克
9.0,历史深处的忧虑,作者:林达
9.0,经济学原理（上下）,作者:[美]曼昆
9.0,十万个为什么,出版社:少年儿童出版社
9.0,象棋的故事,作者:[奥]斯台芬·茨威格
9.0,沉默的大多数,作者:王小波
9.0,嫌疑人X的献身,作者:（日）东野圭吾
9.0,全本新注聊斋志异（全三册）,作者:[清]蒲松龄著/朱其铠等校注
9.0,楚辞,作者:屈原
9.0,2001太空漫游,作者:[英]阿瑟·克拉克
8.9,你一生的故事,作者:[美]特德·蒋
9.1,你看起来好像很好吃,作者:宫西达也
9.1,三毛流浪记（全集）,作者:张乐平
9.0,三毛从军记全集,作者:张乐平
9.0,金色梦乡,作者:[日]伊坂幸太郎
9.0,寻路中国,作者:[美]彼得·海斯勒
9.1,规训与惩罚,作者:[法]米歇尔·福柯
9.0,刀锋,作者:[英]毛姆
9.0,父亲的战场,作者:章东磐
9.0,海伯利安,作者:[美]丹·西蒙斯
8.9,大师和玛格丽特,作者:[俄]布尔加科夫
9.0,我也有一个梦想,作者:林达
9.0,人间词话,作者:王国维
9.0,圣经,出版社:中国基督教协会
9.1,传统十论,作者:秦晖
9.1,枕头人,作者:[英]马丁•麦克多纳/汀布莱克•韦滕贝克/安东尼•尼尔逊/卡丽尔•丘琪尔
9.3,受戒,作者:汪曾祺
9.0,巨人的陨落,作者:[英]肯·福莱特
,大路,作者:张赞波
8.9,独裁者手册,作者:布鲁斯·布尔诺·德·梅斯奎塔(MesquitaB.B.D.)/阿拉斯泰尔·史密斯(SmithA.)
9.0,海洋帝国,作者:罗杰·克劳利(RogerCrowley)
9.1,甲骨文,作者:彼得·海斯勒
9.1,我是霸王龙,作者:宫西达也
9.2,杀死一只知更鸟,作者:[美]哈珀·李
9.0,柳如是别传（全三册）,作者:陈寅恪
8.9,灯塔,作者:[法]克里斯多夫·夏布特
9.0,万水千山走遍,作者:三毛
9.1,ThePh.D.Grind,作者:PhilipJ.Guo
9.0,金枝,作者:（英）弗雷泽
9.1,丰饶之海（上下）,作者:[日]三岛由纪夫
9.4,魔戒,作者:[英]J.R.R.托尔金
9.0,斐多,作者:柏拉图
9.0,顾城哲思录,作者:顾城
9.1,韦伯作品集Ⅻ:新教伦理与资本主义精神,作者:马克斯·韦伯
9.0,孤城闭,作者:米兰Lady
9.3,传习录,作者:[明]王阳明撰
9.2,CPrimerPlus,作者:StephenPrata/云巅工作室
9.0,万历十五年（增订本）,作者:[美]黄仁宇
9.0,论法的精神（上）,作者:(法)孟德斯鸠
8.9,江村经济,作者:费孝通
9.4,麒麟之与子同袍,作者:桔子樹
9.1,快乐王子,作者:(英)王尔德
9.1,羊道·深山夏牧场,作者:李娟
9.1,安娜·卡列尼娜,作者:[俄]列夫·托尔斯泰
9.1,羊道·前山夏牧场,作者:李娟
9.5,英语魔法师之语法俱乐部,作者:旋元佑
9.2,编码的奥秘,作者:CharlesPetzold
9.0,天人五衰,作者:(日)三岛由纪夫
9.2,霸王别姬,作者:李碧华
9.1,给青年诗人的信,作者:[奥]莱内·马利亚·里尔克
9.1,JavaScript语言精粹,作者:DouglasCrockford
9.2,芥川龙之介全集,作者:[日]芥川龙之介
9.0,集体智慧编程,作者:TOBYSEGARAN
9.0,棋王.樹王.孩子王,作者:阿城
9.0,电影是什么？,作者:（法）安德烈·巴赞
9.1,正红旗下,作者:老舍
9.1,我想去看海,作者:(法)克利斯提昂.约里波瓦/文/(法)克利斯提昂.艾利施/图
9.0,香初上舞·终上,作者:藤萍
9.0,香初上舞·再上,作者:藤萍
9.6,美语音标,作者:赖世雄
9.0,人生的枷锁,作者:[英]毛姆
9.6,金庸全集,作者:金庸
9.1,毛泽东选集第一卷,作者:毛泽东
9.3,庄子今注今译（全三册）,作者:陈鼓应注译
9.0,庄子諵譁（下）,作者:南怀瑾
9.1,故事新编,作者:鲁迅
9.2,汪曾祺小说经典,作者:汪曾祺
9.1,鸟哥的Linux私房菜,作者:鸟哥
9.1,亲爱的提奥,作者:[荷]文森特·凡高
9.0,夏宇詩集／腹語術,作者:夏宇
9.2,海子诗全集,作者:海子著/西川编
9.1,约翰·克利斯朵夫（共四册）,作者:罗曼·罗兰
9.1,牡丹亭,作者:（明）汤显祖著；徐朔方，杨笑杨校注
9.1,历史研究,作者:（英）阿诺德・汤因比
9.0,德米安,作者:[德]赫尔曼·黑塞
9.0,雕刻时光,作者:[苏]安德烈·塔可夫斯基
9.3,改变心理学的40项研究,作者:罗杰•霍克(RogerR.Hock)
9.0,死屋手记,作者:[俄]陀思妥耶夫斯基
9.2,纪伯伦诗集,"作者:（黎巴嫩）纪·哈·纪伯伦（Gibran,K.）"
9.2,沙与沫,作者:卡里・纪伯伦/廖欣
9.1,被淹没和被拯救的,作者:[意]普里莫·莱维
9.0,海风中失落的血色馈赠,作者:[加拿大]阿利斯泰尔·麦克劳德
9.0,切尔诺贝利的悲鸣,作者:S.A.阿列克谢耶维奇
9.1,极简宇宙史,作者:[法]克里斯托弗·加尔法德
9.1,追忆似水年华,作者:[法]马塞尔·普鲁斯特
9.0,我们时代的神经症人格,作者:卡伦·霍尼
9.0,活着为了讲述,作者:[哥伦比亚]加西亚·马尔克斯
8.8,二手时间,作者:[白俄]S.A.阿列克谢耶维奇
9.6,心经,作者:本书编委会
9.0,毛毛,作者:米切尔·恩德
9.4,银河英雄传说,作者:田中芳树
9.1,受戒,作者:汪曾祺
8.9,局外人,作者:(法)阿尔贝·加缪
9.1,NothingtoEnvy,作者:BarbaraDemick
9.2,霸王别姬,作者:李碧华
9.1,一个叫欧维的男人决定去死,作者:[瑞典]弗雷德里克·巴克曼
9.1,记忆与印象,作者:史铁生
9.1,新月集·飞鸟集,作者:(印度)泰戈尔
9.3,乱世佳人(上、下),作者:（美）玛格丽特・米切尔
9.0,温柔的夜,作者:三毛
9.2,EffectiveC++中文版,作者:[美]ScottMeyers
9.1,阿拉伯的劳伦斯,作者:[美]斯科特·安德森
9.0,重构,作者:MartinFowler
9.1,百年中国经济史笔记,作者:杨小凯
9.0,中国哲学简史,作者:冯友兰
9.0,傅山的世界,作者:白谦慎
9.0,C和指针,作者:KennethA.Reek
9.1,備忘錄,作者:夏宇
9.4,论自由,作者:[英]约翰·穆勒
9.0,人性的枷锁,作者:威廉·萨默赛特·毛姆/(W.S.Maugham)
8.9,有匪1,作者:priest
9.1,大明王朝1566,作者:刘和平
9.0,黄金时代,作者:王小波
9.0,给心理治疗师的礼物,作者:[美]雅罗姆（IrvinD.Yalom）
9.5,麒麟之生死與共,作者:桔子樹
9.0,沈从文的后半生,作者:张新颖
9.4,公司理财,作者:斯蒂芬A.罗斯
9.2,世界的凛冬,作者:[英]肯·福莱特
9.0,人鼠之间,作者:[美]约翰·斯坦贝克（JohnSteinbeck）
9.0,面纱,作者:[英]毛姆
9.0,欲望号街车,作者:[美]田纳西·威廉斯
9.2,南怀瑾选集（第一卷）,作者:南怀瑾述
9.0,哲学研究,作者:[英]路德维希·维特根斯坦
9.1,海伯利安的陨落,作者:(美)丹·西蒙斯
9.2,海伯利安,作者:(美)丹·西蒙斯
9.1,唐宋词十七讲,作者:叶嘉莹
9.0,经济解释卷一：科学说需求（神州增订版）,作者:张五常
9.3,管锥编（全五册）,作者:钱钟书
9.1,罗生门,作者:芥川龙之介
9.0,我与地坛,作者:史铁生
9.0,這些人，那些事,作者:吳念真
9.1,叔本华思想随笔,作者:(德)阿・叔本华
9.1,斯·茨威格中短篇小说选,作者:斯·茨威格
9.1,毛姆短篇小说精选集,作者:(英)威廉·萨默塞特·毛姆
9.0,阿勒泰的角落,作者:李娟
9.2,四世同堂,作者:老舍
9.2,基督山伯爵（上下册）,作者:大仲马
9.0,卡尔维诺文集（第五卷）,作者:[意大利]卡尔维诺
9.1,黄金时代白银时代,作者:王小波
9.6,艺术的故事,作者:[英]贡布里希(SirE.H.Gombrich)
9.0,项塔兰,作者:[澳]格里高利·大卫·罗伯兹
