addr,key,name
天津市塘沽区新港北仑里11号,重点,天津市塘沽区新港第四小学
天津市河东区 津塘路双东路6号,重点,天津市河东区务实小学
天津市南开区西门里大街中营前2号,重点,天津市精英小学
天津市河西区大沽南路977号,重点,天津市河西区天津小学
天津市红桥区水木天成团结路1号,重点,天津市红桥区水木天成师范附小学（红桥师大附小）
天津市南开区南涧乡天津市南开区南江路3号,重点,天津市南开区南江里小学
天津市河东区卫国道益寿东里4号,重点,天津市河东区益寿里小学
天津市塘沽区胡家园街六道沟村,重点,天津市塘沽区馨桥园小学
天津市和平区新华路257号,重点,天津市和平区新华南路小学
天津市和平区承德道30号,重点,天津市和平区四平东道小学
天津市南开区淦江路4号,重点,天津市华夏学校小学部
宁河县芦台镇薄后村,普通,天津市宁河县北胡小学
蓟县洇溜镇龙湾村村南,普通,蓟县洇溜镇龙湾中心小学
天津市武清区石各庄镇敖西村,普通,天津市武清区石各庄镇敖嘴中心小学
东棘坨镇史家庄村南,普通,东棘坨镇史家庄中心小学
天津市河东区大桥道和进里37号,重点,天津市河东区大桥道小学
天津市河北区天泰路席厂下坡2号,重点,天津市河北区天泰小学
天津市和平区新兴路48号,重点,天津市和平区新星小学
天津市蓟县出头岭镇王官屯村南,普通,可口可乐醒目希望小学
魏良庄村南,普通,魏良庄完全小学
天津市蓟县上仓镇于少屯村西,普通,上仓镇于少屯中心小学
天津市宁河县廉庄乡高坨村,普通,廉庄中心小学
天津市武清区白古屯乡小韩村,普通,天津市武清区白古屯乡小韩村完全小学
蓟县出头岭镇小汪庄村北,普通,龙泉中心小学
天津市南开区黄河道闻喜里2号,重点,天津市南开区艺术小学
天津市南开区湖滨道卫津路92号,重点,天津大学附属小学（天大附小）
天津市南开区华苑小区锦环道,重点,天津市南开区实验学校小学部
天津市和平区万全道96号,重点,天津市和平区万全道小学
天津市塘沽区北塘街宁车沽西村树顺里,重点,塘沽区宁车沽小学
天津市塘沽区河北路49号,重点,天津市塘沽区工农村小学
天津市塘沽区万年桥北路1716号,重点,天津市塘沽区盐场小学
天津市河西区解放南路与浯水道交口,重点,天津市河西区水晶小学
静海县梁头镇罗塘村,普通,天津市梁头镇罗塘中心小学
天津市宁河县北淮淀乡北淮淀村北,普通,北淮淀小学
天津市武清区陈咀镇渔坝口村,普通,天津市武清区陈咀镇渔坝口完全小学
